啞	哑
縧	绦
嵗	岁
鑑	鉴
雞	鸡
鋶	锍
額	额
鴕	鸵
誠	诚
豐	丰
鏷	镤
脫	脱
镟	旋
緼	缊
報	报
樸	朴
癡	痴
壠	垄
悶	闷
搗	捣
摯	挚
澤	泽
覡	觋
貟	贠
釦	扣
鎢	钨
櫪	枥
贇	赟
眾	众
鋨	锇
鵾	鹍
磯	矶
鱂	鳉
墾	垦
潔	洁
紺	绀
賀	贺
磚	砖
飠	饣
扡	扦
繆	缪
覿	觌
鋏	铗
綵	彩
纜	缆
呂	吕
參	参
賛	赞
粧	妆
潑	泼
瀋	渖
細	细
硜	硁
慳	悭
攝	摄
賅	赅
輸	输
术	术
撲	扑
驕	骄
卹	恤
啓	启
魷	鱿
愴	怆
勻	匀
嗩	唢
島	岛
亂	乱
緱	缑
躓	踬
腊	腊
訃	讣
嫿	婳
萵	莴
蘿	萝
飩	饨
鶯	莺
鯿	鳊
嚻	嚣
廬	庐
敗	败
綈	绨
鮶	鲪
爾	尔
蓽	荜
礙	碍
誹	诽
嘆	叹
擰	拧
脇	胁
潙	沩
釵	钗
偸	偷
菸	烟
蘞	蔹
懟	怼
貺	贶
這	这
鶪	䴗
賽	赛
俔	伣
嬋	婵
曠	旷
麵	面
禦	御
檯	台
砲	炮
搆	构
鰂	鲗
鏇	镟
鰍	鳅
憶	忆
釀	酿
臟	脏
齷	龌
塼	砖
儸	罗
剷	铲
菴	庵
瀨	濑
鈣	钙
禕	祎
錒	锕
鰻	鳗
鯗	鲞
闥	闼
現	现
鰨	鳎
詆	诋
囯	国
竇	窦
鵝	鹅
嗚	呜
鍔	锷
嘩	哗
瓔	璎
鈈	钚
餎	饹
耡	锄
蝸	蜗
赬	赪
鯕	鲯
姜	姜
牴	抵
騮	骝
濕	湿
儔	俦
輓	挽
醃	腌
硯	砚
勱	劢
瀧	泷
櫃	柜
週	周
殤	殇
紐	纽
礱	砻
沍	冱
準	准
适	适
镟	碹
並	并
歟	欤
諺	谚
嫻	娴
讒	谗
繕	缮
関	关
鱷	鳄
鉶	铏
電	电
鈉	钠
羨	羡
賊	贼
饊	馓
癧	疬
補	补
龕	龛
樹	树
鮺	鲝
梱	捆
違	违
戔	戋
夢	梦
禰	祢
慇	殷
嗊	唝
歡	欢
